Date Created,Sport,Event,Event Time,Bookie,Bet Type,Type,Outcome,Stake,Odds,Fee (%),Liability,Return,Potential Profit,Bet Result,Profit,Running Profit,Note,Profit ID
19/11/2019 13:48:04,Football,Brighton and Hove Albion v Leicester,23/11/2019 15:00:00,Betfred,Qualifying,Back,Leicester,10.0,2.05,0,0.0,10.5,-0.43,Lose,0.0,0.0, ,7967100
19/11/2019 13:48:04,Football,Brighton and Hove Albion v Leicester,23/11/2019 15:00:00,Smarkets,Qualifying,Lay,Leicester,9.76,2.12,2,10.93,9.56,-0.44,Win,-0.44,-0.44, ,7967100
19/11/2019 14:27:29,Football,Rochdale v Wrexham,19/11/2019 19:45:00,Coral,Qualifying,Back,Rochdale,5.0,1.91,0,0.0,4.55,-0.1,Win,2.57,2.13,2.67 of losses from exchange refunded,7967200
19/11/2019 14:27:29,Football,Rochdale v Wrexham,19/11/2019 19:45:00,Smarkets,Qualifying,Lay,Rochdale,5.0,1.93,2,4.65,4.9,-0.1,Lose,0.0,2.13,2.67 of losses from exchange refunded,7967200
19/11/2019 14:39:18 ,Football,Wales v Hungary,19/11/2019 19:45:00,Coral,Free (SNR),Back,Hungary,20.0,6.5,0,0.0,110.0,15.92,Lose,0.0,2.13, ,7967346
19/11/2019 14:39:18 ,Football,Wales v Hungary,19/11/2019 19:45:00,Smarkets,Free (SNR),Lay,Hungary,16.22,6.8,2,94.08,15.9,15.9,Win,15.9,18.03, ,7967346
19/11/2019 14:56:02 ,Football,North Macedonia v Israel,19/11/2019 19:45:00,Skybet,Qualifying,Back,North Macedonia,5.0,2.4,0,0.0,7.0,-0.33,Win,7.0,25.03,7.33 of losses from exchange refunded,7967454
19/11/2019 14:56:02 ,Football,North Macedonia v Israel,19/11/2019 19:45:00,Smarkets,Qualifying,Lay,North Macedonia,4.76,2.54,2,7.33,4.66,-0.34,Lose,0.0,25.03,7.33 of losses from exchange refunded,7967454
20/11/2019 14:13:10 ,Football,Lincoln v Ipswich,20/11/2019 19:45:00,Skybet,Free (SNR),Back,1-2,20.0,11.0,0,0.0,200.0,15.08,Lose,0.0,25.03, ,7975857
20/11/2019 14:13:10 ,Football,Lincoln v Ipswich,20/11/2019 19:45:00,Smarkets,Free (SNR),Lay,1-2,15.41,13.0,2,184.92,15.1,15.1,Win,15.1,40.13, ,7975857
20/11/2019 22:11:55 ,Football,Levante v Mallorca,22/11/2019 20:00:00,William Hill,Qualifying,Back,Levante,10.0,1.85,0,0.0,8.5,-0.36,Win,-0.36,39.77, ,7979780
20/11/2019 22:11:55 ,Football,Levante v Mallorca,22/11/2019 20:00:00,Smarkets,Qualifying,Lay,Levante,9.84,1.9,2,8.86,9.64,-0.36,Lose,0.0,39.77, ,7979780
