Date Created,Sport,Event,Event Time,Bookie,Bet Type,Type,Outcome,Stake,Odds,Fee (%),Liability,Return,Potential Profit,Bet Result,Note,Profit ID
19/11/2019 14:39:18 ,Football,Wales v Hungary,19/11/2019 19:45:00,Coral,Free (SNR),Back,Hungary,20.0,6.5,0,0.0,110.0,15.92,Lose, ,7967346
19/11/2019 14:39:18 ,Football,Wales v Hungary,19/11/2019 19:45:00,Smarkets,Free (SNR),Lay,Hungary,16.22,6.8,2,94.08,15.9,15.9,Win, ,7967346
19/11/2019 14:56:02 ,Football,North Macedonia v Israel,19/11/2019 19:45:00,Skybet,Qualifying,Back,North Macedonia,5.0,2.4,0,0.0,7.0,-0.33,Win, ,7967454
19/11/2019 14:56:02 ,Football,North Macedonia v Israel,19/11/2019 19:45:00,Smarkets,Qualifying,Lay,North Macedonia,4.76,2.54,2,7.33,4.66,-0.34,Lose, ,7967454
20/11/2019 14:13:10 ,Football,Lincoln v Ipswich,20/11/2019 19:45:00,Skybet,Free (SNR),Back,1-2,20.0,11.0,0,0.0,200.0,15.08,Lose, ,7975857
20/11/2019 14:13:10 ,Football,Lincoln v Ipswich,20/11/2019 19:45:00,Smarkets,Free (SNR),Lay,1-2,15.41,13.0,2,184.92,15.1,15.1,Win, ,7975857
20/11/2019 22:11:55 ,Football,Levante v Mallorca,22/11/2019 20:00:00,William Hill,Qualifying,Back,Levante,10.0,1.85,0,0.0,8.5,-0.36,Win, ,7979780
20/11/2019 22:11:55 ,Football,Levante v Mallorca,22/11/2019 20:00:00,Smarkets,Qualifying,Lay,Levante,9.84,1.9,2,8.86,9.64,-0.36,Lose, ,7979780
20/11/2019 22:20:56 ,Horse Racing,Market Rasen 14:05,21/11/2019 14:05:00,William Hill,Free (SNR),Back,Buster Valentine,30.0,6.0,0,0.0,150.0,22.32,Win,"odds changed in smarkets, liability was 118,
lay bet loss, profit = 150 -118 = 32",7979843
20/11/2019 22:20:56 ,Horse Racing,Market Rasen 14:05,21/11/2019 14:05:00,Smarkets,Free (SNR),Lay,Buster Valentine,22.8,6.6,2,127.68,22.34,22.34,Lose,"odds changed in smarkets, liability was 118,
lay bet loss, profit = 150 -118 = 32",7979843
21/11/2019 21:24:34 ,Football,Levante v Mallorca,22/11/2019 20:00:00,BetWay,Qualifying,Back,Levante,30.0,1.87,0,0.0,26.1,-1.07,Win, ,7987409
21/11/2019 21:24:34 ,Football,Levante v Mallorca,22/11/2019 20:00:00,Smarkets,Qualifying,Lay,Levante,29.53,1.92,2,27.17,28.94,-1.06,Lose, ,7987409
22/11/2019 22:16:02 ,Football,West Ham v Tottenham,23/11/2019 12:30:00,BetWay,Free (SNR),Back,Draw,30.0,4.2,0,0.0,96.0,21.47,Lose, ,7998004
22/11/2019 22:16:02 ,Football,West Ham v Tottenham,23/11/2019 12:30:00,Smarkets,Free (SNR),Lay,Draw,21.92,4.4,2,74.53,21.48,21.48,Win, ,7998004
24/11/2019 09:55:09 ,Football,Sheff Utd v Man Utd,24/11/2019 16:30:00,Betfred,Free (SNR),Back,1-1,30.0,6.5,0,0.0,165.0,21.32,Lose, ,8018379
24/11/2019 09:55:09 ,Football,Sheff Utd v Man Utd,24/11/2019 16:30:00,Smarkets,Free (SNR),Lay,1-1,21.77,7.6,2,143.68,21.33,21.33,Win, ,8018379
